parameter,category,old_primary_rank,new_independent_rank,recommendation,rationale
divProbP,recommended_for_calibration_now,7,7,CALIBRATE,"Robust tumour-burden driver across primary and independent designs; prior targeted confirmation SNR 1.46."
pOffMax,recommended_for_calibration_now,8,3,CALIBRATE,"Robust JNK and tumour driver; stronger in independent run; prior targeted confirmation SNR 1.29."
dieProbN,recommended_for_calibration_now,30,30,CALIBRATE_WITH_CAUTION,"Stable moderate/extinction-associated ABC-inferred death rate; keep netN fixed unless joint parameterization is reviewed."
divProbFP,uncertain_or_later_expanded_calibration,20,32,DO_NOT_CALIBRATE_NOW,"Previously proposed core4 member, but independent 5-seed run weakened it materially and it was not a leading fibroblast target driver."
activProbF,uncertain_or_later_expanded_calibration,34,15,MENTOR_REVIEW_FOR_FIBROBLAST_AXIS,"Independent run found fibroblast-target influence, but old/new ranks are unstable; candidate replacement for divProbFP only after review."
pOnMax,uncertain_or_later_expanded_calibration,25,17,LATER_OR_JOINT_JNK_REVIEW,"JNK-specific secondary driver, confounded with pOffMax and stress/CAF fields."
dieProbP,uncertain_or_later_expanded_calibration,21,22,LATER_OR_FAILURE_REVIEW,"Moderate and failure-associated but not a robust top target driver."
netN,uncertain_or_later_expanded_calibration,33,28,KEEP_FIXED_WITH_DIEPROBN_REVIEW,"Confounded with dieProbN through divProbN=dieProbN+netN; needs joint parameterization before inference."
dieProbMP,influential_fixed_pending_biological_review,2,1,REVIEW_FIXED_VALUE,"Dominant macrophage/endothelial/tumour/failure driver; fixed Tier B range requires mentor review."
divProbMP,influential_fixed_pending_biological_review,1,2,REVIEW_FIXED_VALUE,"Dominant macrophage/endothelial/tumour driver; fixed Tier B range requires mentor review."
divProbFN,influential_fixed_pending_biological_review,3,4,REVIEW_FIXED_VALUE,"Dominant fibroblast driver; zero resting fibroblast division needs biological approval."
dieProbFN,influential_fixed_pending_biological_review,9,5,REVIEW_FIXED_VALUE,"Dominant fibroblast-loss driver; current upper range may imply implausible turnover."
divProbMN,influential_fixed_pending_biological_review,5,6,REVIEW_FIXED_VALUE,"Dominant macrophage output driver; homeostatic constraints need review."
dieProbMN,influential_fixed_pending_biological_review,6,10,REVIEW_FIXED_VALUE,"Dominant macrophage output/failure driver; homeostatic constraints need review."
dieProbEN,influential_fixed_pending_biological_review,11,9,REVIEW_FIXED_VALUE,"Strong EC-population-zero and general-invalid driver; inactive EC death without division needs review."
stressStrength,influential_fixed_pending_biological_review,4,8,REVIEW_FIXED_VALUE,"Reproducible JNK/tumour driver; stress-field range needs biological approval."
migrProbP,influential_fixed_pending_biological_review,10,11,REVIEW_FIXED_VALUE,"Reproducible tumour spread and failure-associated driver; ratio to migrProbN needs review."
lambdaStress,influential_fixed_pending_biological_review,13,12,REVIEW_FIXED_VALUE,"Reproducible JNK/stress-field driver; range requires approval."
divProbEP,influential_fixed_pending_biological_review,24,13,REVIEW_FIXED_VALUE,"Independent run raised EC proliferation influence; fixed EC turnover needs review."
dieProbFP,influential_fixed_pending_biological_review,26,14,REVIEW_FIXED_VALUE,"Independent run raised activated fibroblast death influence; fixed fibroblast turnover needs review."
dieProbEP,influential_fixed_pending_biological_review,15,24,REVIEW_FIXED_VALUE,"Primary high, independent moderate; fixed activated EC death remains a review item."
clusterRadius,influential_fixed_pending_biological_review,12,20,REVIEW_FIXED_VALUE,"Primary high, independent moderate; decide whether it is a measured initial condition or uncertainty."
ecSurvival,weak_or_negligible_over_tested_range,41,40,FIX_AT_SUPPORTED_VALUE,"Weak in primary and independent runs; prior targeted confirmation SNR 0.56."
activProbM,weak_or_negligible_over_tested_range,39,31,FIX_AT_SUPPORTED_VALUE,"Weak/moderate and prior targeted confirmation SNR 0.92; proxy target concern remains."
activProbE,weak_or_negligible_over_tested_range,36,36,KEEP_FIXED_OR_NEEDS_DATA,"Weak across designs; EC target/proxy uncertainty remains."
cafDivBoost,weak_or_negligible_over_tested_range,38,41,KEEP_FIXED_OR_NEEDS_DATA,"Weak across primary and independent runs over tested range."
migrProbF,inactive_current_implementation,,,DO_NOT_CALIBRATE,"Declared field with no executable branch under current event logic."
activProbMP,inactive_current_implementation,,,DO_NOT_CALIBRATE,"Declared field with no executable branch under current event logic."
divProbEN,inactive_current_implementation,,,DO_NOT_CALIBRATE,"Declared field with no executable branch under current event logic."
migrProbE,inactive_current_implementation,,,DO_NOT_CALIBRATE,"Declared field with no executable branch under current event logic."
divProbL,inactive_current_implementation,,,DO_NOT_CALIBRATE,"Declared field with no executable branch under current event logic."
unusedNeighborCountRadius,inactive_current_implementation,,,DO_NOT_CALIBRATE,"Uncalled helper radius; not active in current model logic."
