parameter,in_abc12,n_outputs,median_one_seed_mu_star,median_multi_seed_mu_star,median_mu_star_ratio_3seed_over_1seed,median_multi_seed_sigma,median_sigma_ratio_3seed_over_1seed,median_multi_seed_snr,median_abs_rank_change,mean_rank_change,median_ci_rel_width,median_valid_pairs,median_lost_pairs
dieProbMP,False,126,0.664426093342,0.728582432595,1.0287438341532567,0.8988672371385,0.9849398850957697,3.2094561015,0.0,-0.6984126984126984,1.1036873011145525,20.0,0.0
stressStrength,False,126,0.6948882794155,0.6058944268365001,0.8610740283014062,0.632764535281,0.8148184023201428,1.64139947021,1.0,-0.1984126984126984,1.2851589026810395,20.0,0.0
divProbMP,False,126,0.598693827435,0.580923399651,0.9001404430188691,0.8540848135345,0.9191052947691962,3.3115727072,0.0,0.0873015873015873,1.1785175896148494,20.0,0.0
divProbMN,False,126,0.52713688379,0.5028700595855,0.8805085570779582,0.629367750246,0.8610597648816203,1.570264283745,1.0,-0.5079365079365079,1.1963394044989923,20.0,0.0
dieProbMN,False,126,0.5310676016660001,0.492152442536,0.9080659121064526,0.615614594937,0.8995871662320511,1.4758229320399998,1.0,-0.3412698412698413,1.1878606924160164,20.0,0.0
divProbP,True,126,0.580743613613,0.4438068998595,0.9033223846600809,0.6857757712335,0.9064980460135483,1.457147279815,0.0,-0.14285714285714285,1.3705021132001032,20.0,0.0
pOffMax,True,126,0.4948258388415,0.414421507795,0.8374439501031945,0.468729777877,0.8627351542740853,1.28520108845,1.0,-0.047619047619047616,1.2910713922684816,20.0,0.0
migrProbP,False,126,0.34088744163350004,0.378712149027,0.9498015674779068,0.5071664313575,0.8853697214712283,1.57518565662,1.0,-0.5714285714285714,1.1930306090575116,20.0,0.0
divProbFN,False,126,0.424309006037,0.3675913241885,0.853804241653541,0.5056759217815,0.8429891620694168,1.16958907961,0.0,-0.15873015873015872,1.1722472845203415,20.0,0.0
clusterRadius,False,126,0.502141023648,0.364004357924,0.6666666666674668,0.473467570126,0.5692379575151179,1.188359049475,2.0,0.9603174603174603,1.211407372755022,20.0,0.0
dieProbFN,False,126,0.344749816017,0.333973748557,0.9574682418179677,0.4173635094215,0.9199803113678541,1.15444297433,1.0,0.05555555555555555,1.171258349235624,20.0,0.0
dieProbEN,False,126,0.444943942319,0.3244279492395,0.6574105021777613,0.42135218449199996,0.5832135061207997,0.746753368595,1.0,0.8015873015873016,1.123936969629439,20.0,0.0
initialMacrophageCount,False,126,0.403027739369,0.313662720172,0.8444570027116214,0.41490714737900003,0.8448368172781373,1.1738425567,1.0,-0.30952380952380953,1.237349055856348,20.0,0.0
activProbM,True,126,0.25,0.290653243593,0.7927616363285246,0.443657863429,0.8384512295435095,0.917588843542,1.0,-1.119047619047619,1.2775323252006265,20.0,0.0
dieProbFP,False,126,0.3534162620105,0.256457641411,0.808800092103858,0.4048813609305,0.8267903714369146,0.9139504198645,1.0,0.19047619047619047,1.209534354748605,20.0,0.0
initPop,False,126,0.333333333333,0.253080027646,0.599880168693705,0.432251877532,0.5808226198210023,0.861462257878,1.0,1.3571428571428572,1.1768780363493518,20.0,0.0
initialJnkPositiveTenths,False,126,0.295224766944,0.222222222222,0.6973736564597924,0.437816069807,0.6876372287790175,0.792835618921,1.0,0.8015873015873016,1.4147084400441146,20.0,0.0
ecSurvival,True,126,0.25,0.20682047822299998,0.6908481255985816,0.439619918228,0.6940739735863559,0.557783790721,0.0,-0.15873015873015872,1.3767589891209915,20.0,0.0
